journal_id,name,publisher,website,p_issn,e_issn,subject_area,accreditation,scopus_indexed,garuda_indexed,Impact,H5-index,Citations 5yr,Citations
17298,Narra J,PT Narra Sains Indonesia,https://narraj.org/main,|,28072618,,S1Accredited,False,True,"3,69",25,3.693,3.697
680,Journal of Engineering and Technological Sciences,ITB Journal Publisher,https://journals.itb.ac.id/index.php/jets/index,23375779,23385502,Engineering,S1Accredited,True,True,"3,68",31,5.319,7.581
1826,Studies in English Language and Education,"FKIP Bahasa Inggris, Universitas Syiah Kuala",https://jurnal.usk.ac.id/SiELE,23552794,24610275,Education,S1Accredited,True,True,"3,67",42,10.076,10.944
8857,Journal of Applied Engineering and Technological Science (JAETS),Yayasan Pendidikan Riset dan Pengembangan Intelektual,https://journal.yrpipku.com/index.php/jaets,27156087,27156079,"Science, Engineering",S1Accredited,True,True,"3,62",26,2.660,2.725
933,Geoplanning: Journal of Geomatics and Planning,Universitas Diponegoro,http://ejournal.undip.ac.id/index.php/geoplanning/,23556544,23556544,Science,S1Accredited,True,True,"3,58",14,1.016,1.337
19,Al-Albab,Institut Agama Islam Negeri Pontianak,http://jurnaliainpontianak.or.id/index.php/alalbab/index,02166143,25028340,"Social, Religion",S1Accredited,False,True,"3,50",13,710,972
866,Journal of Indonesian Economy and Business,"Fakultas Ekonomika dan Bisnis, Universitas Gadjah Mada",https://journal.ugm.ac.id/v3/jieb/index,20858272,23385847,Economy,S1Accredited,True,True,"3,33",40,10.964,15.609
346,Jurnal Arbitrer,Fakultas Ilmu Budaya Universitas Andalas,http://arbitrer.fib.unand.ac.id,23391162,25501011,Education,S1Accredited,True,True,"3,31",15,1.283,1.498
691,Bulletin of Chemical Reaction Engineering & Catalysis,Masyarakat Katalis Indonesia - Indonesian Catalyst Society (MKICS),https://journal.bcrec.id/index.php/bcrec,0,19782993,,S1Accredited,True,True,"3,30",31,6.544,8.295
1630,Belitung Nursing Journal,Belitung Raya Foundation,http://belitungraya.org/BRP/index.php/bnj,24774073,24774073,Health,S1Accredited,True,True,"3,27",30,6.910,7.763
703,Cakrawala Pendidikan,"Lembaga Penjaminan Mutu dan Pengembangan Pendidikan, Universitas Negeri Yogyakarta",https://journal.uny.ac.id/index.php/cp,0216-1370,2442-8620,Education,S1Accredited,True,True,"3,22",70,34.142,52.444
20,Otoritas : Jurnal Ilmu Pemerintahan,"Program Studi Ilmu Pemerintahan, Universitas Muhammadiyah Makassar",http://journal.unismuh.ac.id/index.php/Otoritas/,20883706,25029320,Social,S1Accredited,False,True,"3,22",18,2.183,2.691
3602,Caraka Tani: Journal of Sustainable Agriculture,"Fakultas Pertanian, Universitas Sebelas Maret",http://jurnal.uns.ac.id/carakatani/,26139456,25992570,Agriculture,S1Accredited,True,True,"3,15",25,3.451,4.219
1566,Jurnal Civics: Media Kajian Kewarganegaraan,Jurusan Pendidikan Kewarganegaraan dan Hukum Fakultas Ilmu Sosial Universitas Negeri Yogyakarta,https://journal.uny.ac.id/index.php/civics/index,18295789,25411918,"Education, Social",S1Accredited,False,True,"3,12",30,4.223,4.732
4644,Tasfiyah: Jurnal Pemikiran Islam,Universitas Darussalam Gontor,https://ejournal.unida.gontor.ac.id/index.php/tasfiyah,25496905,26139863,,S1Accredited,False,True,"3,11",16,1.047,1.112
1266,Forest and Society,,http://journal.unhas.ac.id/index.php/fs/index,25494333,25494333,"Agriculture, Social",S1Accredited,True,True,"3,09",29,3.252,3.717
390,LLT Journal: A Journal on Language and Language Teaching,"Program Studi Pendidikan Bahasa Inggris, Universitas Sanata Dharma",http://e-journal.usd.ac.id/index.php/LLT/index,14107201,25799533,"Humanities, Education, Art, Social",S1Accredited,True,True,"3,07",26,3.105,3.218
3757,Jurnal Geografi,Jurusan Pendidikan Geografi Fakultas Ilmu Sosial Universitas Negeri Medan dan Ikatan Geograf Indonesia,https://jurnal.unimed.ac.id/2012/index.php/geo,20858167,25497057,,S1Accredited,False,True,"3,00",22,1.761,2.128
